file,mode,interval_ms,client_count,replication,duration_seconds,expected_messages_per_client,messages_total_across_clients,producer_rate_messages_per_second,throughput_aggregate_msgps,throughput_aggregate_all_clients,throughput_aggregate_type,throughput_avg_per_client_msgps,throughput_per_client_avg,throughput_per_client_percent_expected,throughput_std_per_client_msgps,fairness_cv,latency_avg_mean_across_clients_ms,latency_p95_worst_client_ms,unique_messages_across_clients,unique_coverage_percent,duplicate_deliveries_across_clients,duplicate_delivery_ratio,cpu_avg_percent,cpu_p95_percent,cpu_max_percent,mem_rss_avg_mb,mem_rss_max_mb,mem_heap_used_avg_mb,latency_method,latency_anomaly,exclude_latency_from_analysis,exclude_throughput_from_analysis,exclude_loss_from_analysis,sync_failed
rest-polling_20ms_20cli_rep3_2026-05-31T06-11-36-545Z_scalability-clients_aggregate.json,rest-polling,20,20,3,60,3000,38400,50,640,640,polling_responses,32,32,64,0,0,16.087,26.59,,,,,32.465,67.832,74.531,107.579,108.555,24.781,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_2cli_rep1_2026-05-31T06-00-06-505Z_scalability-clients_aggregate.json,rest-polling,20,2,1,60,3000,3838,50,63.966,63.966,polling_responses,31.983,31.983,63.966,0,0,14.235,23.311,,,,,20.177,31.165,46.614,103.75,104.645,22.346,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_2cli_rep2_2026-05-31T06-01-09-217Z_scalability-clients_aggregate.json,rest-polling,20,2,2,60,3000,3840,50,64,64,polling_responses,32,32,64,0,0,14.261,23.322,,,,,20.849,33.745,42.694,104.269,104.945,22.265,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_2cli_rep3_2026-05-31T06-02-11-958Z_scalability-clients_aggregate.json,rest-polling,20,2,3,60,3000,3840,50,64,64,polling_responses,32,32,64,0,0,14.168,23.262,,,,,20.3,31.759,42.438,103.822,105.016,21.951,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_5cli_rep1_2026-05-31T06-03-14-692Z_scalability-clients_aggregate.json,rest-polling,20,5,1,60,3000,9610,50,160.165,160.165,polling_responses,32.033,32.033,64.066,0,0,14.556,23.791,,,,,23.463,44.307,64.071,104.492,105.426,21.656,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_5cli_rep2_2026-05-31T06-04-17-433Z_scalability-clients_aggregate.json,rest-polling,20,5,2,60,3000,9610,50,160.165,160.165,polling_responses,32.033,32.033,64.066,0,0,14.654,23.978,,,,,21.865,37.951,55.909,105.29,106.047,22.378,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_20ms_5cli_rep3_2026-05-31T06-05-20-146Z_scalability-clients_aggregate.json,rest-polling,20,5,3,60,3000,9600,50,160,160,polling_responses,32,32,64,0,0,14.579,23.955,,,,,22.503,50.438,59.006,105.234,105.813,22.179,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_10cli_rep1_2026-05-31T05-50-41-957Z_scalability-clients_aggregate.json,rest-polling,50,10,1,60,1200,9600,20,160,160,polling_responses,16,16,80,0,0,29.82,52.919,,,,,13.04,33.381,37.411,105.564,106.426,21.372,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_10cli_rep2_2026-05-31T05-51-44-713Z_scalability-clients_aggregate.json,rest-polling,50,10,2,60,1200,9590,20,159.83,159.83,polling_responses,15.983,15.983,79.915,0,0,30.44,53.6,,,,,10.617,24.432,40.483,105.428,106.285,21.405,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_10cli_rep3_2026-05-31T05-52-47-493Z_scalability-clients_aggregate.json,rest-polling,50,10,3,60,1200,9620,20,160.33,160.33,polling_responses,16.033,16.033,80.165,0,0,30.439,53.607,,,,,12.484,33.55,43.817,105.482,106.32,21.12,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_1cli_rep1_2026-05-31T05-41-17-270Z_scalability-clients_aggregate.json,rest-polling,50,1,1,60,1200,961,20,16.017,16.017,polling_responses,16.017,16.017,80.085,0,0,30.033,51.755,,,,,7.648,12.974,18.598,104.878,105.379,21.784,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_1cli_rep2_2026-05-31T05-42-20-033Z_scalability-clients_aggregate.json,rest-polling,50,1,2,60,1200,961,20,16.017,16.017,polling_responses,16.017,16.017,80.085,0,0,28.928,50.96,,,,,7.461,15.038,18.805,104.795,105.727,21.445,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_1cli_rep3_2026-05-31T05-43-22-749Z_scalability-clients_aggregate.json,rest-polling,50,1,3,60,1200,961,20,16.017,16.017,polling_responses,16.017,16.017,80.085,0,0,28.718,51.469,,,,,8.677,15.531,24.197,104.452,105.023,21.875,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_20cli_rep1_2026-05-31T05-53-50-209Z_scalability-clients_aggregate.json,rest-polling,50,20,1,60,1200,19200,20,320,320,polling_responses,16,16,80,0,0,30.756,55.401,,,,,19.158,37.57,46.294,105.53,106.07,21.796,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_20cli_rep2_2026-05-31T05-54-52-923Z_scalability-clients_aggregate.json,rest-polling,50,20,2,60,1200,19180,20,319.66,319.66,polling_responses,15.983,15.983,79.915,0,0,31.936,55.686,,,,,14.596,36.537,43.831,105.97,106.609,21.65,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_20cli_rep3_2026-05-31T05-55-55-639Z_scalability-clients_aggregate.json,rest-polling,50,20,3,60,1200,19160,20,319.34,319.34,polling_responses,15.967,15.967,79.835,0,0,31.294,55.089,,,,,18.63,42.588,53.318,106.025,106.527,21.686,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_2cli_rep1_2026-05-31T05-44-25-500Z_scalability-clients_aggregate.json,rest-polling,50,2,1,60,1200,1922,20,32.034,32.034,polling_responses,16.017,16.017,80.085,0,0,29.529,52.079,,,,,8.276,15.539,28.197,105.392,105.645,21.581,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_2cli_rep2_2026-05-31T05-45-28-253Z_scalability-clients_aggregate.json,rest-polling,50,2,2,60,1200,1920,20,32,32,polling_responses,16,16,80,0,0,28.938,52.36,,,,,9.224,21.363,30.285,105.154,105.781,21.677,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_2cli_rep3_2026-05-31T05-46-31-011Z_scalability-clients_aggregate.json,rest-polling,50,2,3,60,1200,1918,20,31.966,31.966,polling_responses,15.983,15.983,79.915,0,0,28.791,50.044,,,,,9.221,16.104,27.941,104.844,105.957,22,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_5cli_rep1_2026-05-31T05-47-33-727Z_scalability-clients_aggregate.json,rest-polling,50,5,1,60,1200,4800,20,80,80,polling_responses,16,16,80,0,0,29.328,52.234,,,,,10.299,21.984,34.34,105.123,105.48,21.899,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_5cli_rep2_2026-05-31T05-48-36-490Z_scalability-clients_aggregate.json,rest-polling,50,5,2,60,1200,4790,20,79.835,79.835,polling_responses,15.967,15.967,79.835,0,0,29.798,52.58,,,,,10.664,24.688,34.167,105.353,105.867,21.627,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_50ms_5cli_rep3_2026-05-31T05-49-39-199Z_scalability-clients_aggregate.json,rest-polling,50,5,3,60,1200,4800,20,80,80,polling_responses,16,16,80,0,0,29.707,52.756,,,,,10.326,24.249,34.311,105.225,106.176,21.589,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_10cli_rep1_2026-05-31T06-37-44-484Z_scalability-clients_aggregate.json,rest-polling,5,10,1,60,12000,39014,200,650.234,650.234,polling_responses,65.023,65.023,32.511,0.02,0.0003,7.759,10.81,,,,,80.236,112.933,133.721,112.921,113.41,24.383,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_10cli_rep2_2026-05-31T06-38-47-195Z_scalability-clients_aggregate.json,rest-polling,5,10,2,60,12000,38908,200,648.467,648.467,polling_responses,64.847,64.847,32.423,0.023,0.0004,7.832,10.872,,,,,78.644,113.09,145.912,113.025,113.496,24.432,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_10cli_rep3_2026-05-31T06-39-49-928Z_scalability-clients_aggregate.json,rest-polling,5,10,3,60,12000,39031,200,650.517,650.517,polling_responses,65.052,65.052,32.526,0.024,0.0004,7.726,10.694,,,,,82.408,120.587,133.693,113.096,113.645,24.67,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_1cli_rep1_2026-05-31T06-28-20-110Z_scalability-clients_aggregate.json,rest-polling,5,1,1,60,12000,3848,200,64.133,64.133,polling_responses,64.133,64.133,32.066,0,0,6.765,9.262,,,,,74.433,84.553,94.3,111.514,112.078,24.434,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_1cli_rep2_2026-05-31T06-29-22-823Z_scalability-clients_aggregate.json,rest-polling,5,1,2,60,12000,3846,200,64.1,64.1,polling_responses,64.1,64.1,32.05,0,0,6.705,9.195,,,,,75.594,93.729,103.156,111.866,112.441,25.042,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_1cli_rep3_2026-05-31T06-30-25-527Z_scalability-clients_aggregate.json,rest-polling,5,1,3,60,12000,3845,200,64.083,64.083,polling_responses,64.083,64.083,32.041,0,0,6.757,9.225,,,,,75.737,94.176,103.544,112.092,112.32,23.846,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_20cli_rep1_2026-05-31T06-40-52-659Z_scalability-clients_aggregate.json,rest-polling,5,20,1,60,12000,179941,200,2999.016,2999.016,polling_responses,149.951,149.951,74.975,0.467,0.0031,8.334,11.205,,,,,110.586,132.527,141.067,145.353,157.445,42.318,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_20cli_rep2_2026-05-31T06-41-55-422Z_scalability-clients_aggregate.json,rest-polling,5,20,2,60,12000,179617,200,2993.615,2993.615,polling_responses,149.681,149.681,74.841,0.288,0.0019,8.364,11.303,,,,,108.639,125.585,150.547,157.685,158.617,41.663,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_20cli_rep3_2026-05-31T06-42-58-182Z_scalability-clients_aggregate.json,rest-polling,5,20,3,60,12000,180165,200,3002.749,3002.749,polling_responses,150.137,150.137,75.069,0.336,0.0022,8.422,11.401,,,,,111.606,131.864,143.311,157.53,158.52,42.897,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_2cli_rep1_2026-05-31T06-31-28-249Z_scalability-clients_aggregate.json,rest-polling,5,2,1,60,12000,7691,200,128.183,128.183,polling_responses,64.091,64.091,32.045,0.008,0.0001,6.905,9.431,,,,,74.462,87.386,96.605,111.911,112.328,24.539,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_2cli_rep2_2026-05-31T06-32-30-973Z_scalability-clients_aggregate.json,rest-polling,5,2,2,60,12000,7688,200,128.134,128.134,polling_responses,64.067,64.067,32.033,0,0,6.939,9.42,,,,,75.607,94.979,114.846,112.1,112.324,24.569,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_2cli_rep3_2026-05-31T06-33-33-688Z_scalability-clients_aggregate.json,rest-polling,5,2,3,60,12000,7694,200,128.234,128.234,polling_responses,64.117,64.117,32.059,0,0,6.934,9.457,,,,,76.067,89.992,112.717,102.752,108.598,23.128,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_5cli_rep1_2026-05-31T06-34-36-388Z_scalability-clients_aggregate.json,rest-polling,5,5,1,60,12000,19294,200,321.567,321.567,polling_responses,64.313,64.313,32.157,0.019,0.0003,7.184,9.904,,,,,79.832,111.846,137.144,112.354,113.09,24.147,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_5cli_rep2_2026-05-31T06-35-39-095Z_scalability-clients_aggregate.json,rest-polling,5,5,2,60,12000,19293,200,321.551,321.551,polling_responses,64.31,64.31,32.155,0.008,0.0001,7.17,9.859,,,,,78.634,100.414,128.251,112.615,113.242,24.161,ntp_style_clock_synchronization,,false,false,false,false
rest-polling_5ms_5cli_rep3_2026-05-31T06-36-41-778Z_scalability-clients_aggregate.json,rest-polling,5,5,3,60,12000,19310,200,321.835,321.835,polling_responses,64.367,64.367,32.184,0,0,,,,,,,77.268,104.4,122.195,113.175,113.57,26.189,ntp_style_clock_synchronization__invalidated_arduino_micros_rollover,arduino_micros_rollover,true,false,false,false
webserial_100ms_1cli_rep1_2026-05-31T06-59-35-832Z_scalability-clients_aggregate.json,webserial,100,1,1,60,600,600,10,10,10,single_client_direct,10,10,100,0,0,3.664,4.484,600,100,0,0,,,,,,,ntp_style_clock_synchronization,,false,false,false,false
webserial_100ms_1cli_rep2_2026-05-31T06-59-35-837Z_scalability-clients_aggregate.json,webserial,100,1,2,60,600,599,10,9.983,9.983,single_client_direct,9.983,9.983,99.83,0,0,3.613,4.452,599,99.833,0,0,,,,,,,ntp_style_clock_synchronization,,false,false,false,false
webserial_100ms_1cli_rep3_2026-05-31T06-59-35-843Z_scalability-clients_aggregate.json,webserial,100,1,3,60,600,599,10,9.983,9.983,single_client_direct,9.983,9.983,99.83,0,0,3.637,4.484,599,99.833,0,0,,,,,,,ntp_style_clock_synchronization,,false,false,false,false
webserial_10ms_1cli_rep1_2026-05-31T06-59-35-835Z_scalability-clients_aggregate.json,webserial,10,1,1,60,6000,5999,100,99.977,99.977,single_client_direct,99.977,99.977,99.977,0,0,3.6,4.512,5999,99.983,0,0,,,,,,,ntp_style_clock_synchronization,,false,false,false,false
